Description,Price Was,Price,Percent Off,Rating,Review Count,URL
OtterBox COMMUTER SERIES for iPhone 14 Plus - INTO THE FUCSHIA (Pink),,$59.95,0%,4.7 out of 5 stars,4.7,https://www.amazon.ca/OtterBox-COMMUTER-iPhone-14-Plus/dp/B0B7QN7CFX/ref=sr_1_5?keywords=iPhone+14&qid=1677007651&sr=8-5
"Defencase for iPhone 14 Case, iPhone 14 Cases Wallet for Women and Men, Vintage PU Leather Magnetic Bukckle Flip Closure Strap Zipper Card Holder Wallet Phone Case for iPhone 14 [6.1""], Luxury Blue",,$31.99,0%,4.3 out of 5 stars,4.3,https://www.amazon.ca/Defencase-Case-Wallet-Strap-Zipper/dp/B0BFGWRYS9/ref=sr_1_6?keywords=iPhone+14&qid=1677007651&sr=8-6
"Lanhiem for iPhone 14 Case, IP68 Waterproof Dustproof Shockproof Case with Built-in Screen Protector, Full Body Sealed Underwater Protective Cover for iPhone 14 6.1 inch(Black)",,$26.99,0%,3.9 out of 5 stars,3.9,https://www.amazon.ca/Lanhiem-Waterproof-Shockproof-Underwater-Protective/dp/B0B6HDQKP8/ref=sr_1_7?keywords=iPhone+14&qid=1677007651&sr=8-7
OtterBox COMMUTER SERIES for iPhone 14 & iPhone 13 - DONT BE BLUE (Blue),,$59.95,0%,3.9 out of 5 stars,3.9,https://www.amazon.ca/OtterBox-COMMUTER-iPhone-14-DONT/dp/B0B7QSV95Y/ref=sr_1_8?keywords=iPhone+14&qid=1677007651&sr=8-8
"ZTOFERA for iPhone 14 Pro Max Case, Protective Case for Women Cute Electroplated Butterfly Gold Edge Shockproof Slim Soft TPU Bumper Girls Men Phone Cover for iPhone 14 Pro Max (6.7""), White",,$14.99,0%,3.7 out of 5 stars,3.7,https://www.amazon.ca/ZTOFERA-Protective-Electroplated-Butterfly-Shockproof/dp/B0BJVVGBRK/ref=sr_1_9?keywords=iPhone+14&qid=1677007651&sr=8-9
"SURPHY Silicone Case Compatible with iPhone 14 Pro Max Case 6.7 inch (2022), with Camera Protection Liquid Silicone Soft Gel Rubber Phone Case Cover with Microfiber Lining (Stone)",,$17.99,0%,4.6 out of 5 stars,4.6,https://www.amazon.ca/SURPHY-Silicone-Compatible-Protection-Microfiber/dp/B0B7HCQ28Q/ref=sr_1_10?keywords=iPhone+14&qid=1677007651&sr=8-10
"Apple iPhone 12, 64GB, Black - Fully Unlocked (Renewed)",$695.99,$639.99,-8.05%,4.2 out of 5 stars,4.2,https://www.amazon.ca/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB/ref=sr_1_11?keywords=iPhone+14&qid=1677007651&sr=8-11
"TOCOL [5 in 1] for iPhone 14 Case, with 2 Pack Screen Protector + 2 Pack Camera Lens Protector, Slim Liquid Silicone Phone Case iPhone 6.1 Inch, [Anti-Scratch] [Drop Protection], Storm Blue",$21.99,$20.99,-4.55%,4.5 out of 5 stars,4.5,https://www.amazon.ca/TOCOL-iPhone-14-Anti-Scratch-Protection/dp/B0B5THTBFL/ref=sr_1_12?keywords=iPhone+14&qid=1677007651&sr=8-12
"TAURI [5 in 1] Designed for iPhone 14 Case [Not Yellowing], with 2 Tempered Glass Screen Protectors + 2 Camera Lens Protectors [Military Grade Protection] Shockproof Slim Phone case 6.1 Inch, Clear",$19.99,$18.99,-5.0%,4.7 out of 5 stars,4.7,https://www.amazon.ca/TAURI-14-Protectors-Protection-Shockproof/dp/B0B5TLRTZ5/ref=sr_1_13?keywords=iPhone+14&qid=1677007651&sr=8-13
"SURPHY Silicone Case Compatible with iPhone 14 Case 6.1 inch (2022), with Camera Protection Liquid Silicone Soft Gel Rubber Phone Case Cover with Microfiber Lining (Lilac Purple)",,$18.99,0%,4.5 out of 5 stars,4.5,https://www.amazon.ca/SURPHY-Silicone-Compatible-Protection-Microfiber/dp/B0B771FQSM/ref=sr_1_14?keywords=iPhone+14&qid=1677007651&sr=8-14
"ESR Classic Hybrid Magnetic Case with HaloLock, Compatible with iPhone 14 Case and iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Scratch-Resistant Back, Clear",$23.99,$19.99,-16.67%,4.7 out of 5 stars,4.7,https://www.amazon.ca/ESR-HaloLock-Reinforced-Protection-Scratch-Resistant/dp/B099JVC9HL/ref=sr_1_15?keywords=iPhone+14&qid=1677007651&sr=8-15
"JETech Screen Protector for iPhone 14 6.1-Inch, Tempered Glass Film, 3-Pack",$9.99,$8.49,-15.02%,4.4 out of 5 stars,4.4,https://www.amazon.ca/JETech-Screen-Protector-6-1-Inch-Tempered/dp/B0B88J714L/ref=sr_1_16?keywords=iPhone+14&qid=1677007651&sr=8-16
"[Apple MFi Certified] iPhone 14 13 12 11 Fast Charger 10FT, YEAHFUN 2Pack 20W USB C Wall Charger Block Fast Charging Cube + Long USB-C to Lightning Cable for iPhone 14/Plus/13/12/Pro Max/Mini/XS iPad",$39.99,$29.99,-25.01%,4.5 out of 5 stars,4.5,https://www.amazon.ca/Certified-Charger-YEAHFUN-Charging-Lightning/dp/B09WYPJ8CX/ref=sr_1_17?keywords=iPhone+14&qid=1677007651&sr=8-17
"JETech Case for iPhone 14 6.1-Inch, Non-Yellowing Shockproof Phone Bumper Cover, Anti-Scratch Clear Back (Clear)",,$11.99,0%,4.6 out of 5 stars,4.6,https://www.amazon.ca/JETech-6-1-Inch-Non-Yellowing-Shockproof-Anti-Scratch/dp/B0B8RHKTXQ/ref=sr_1_18?keywords=iPhone+14&qid=1677007651&sr=8-18
"elago Compatible with iPhone 14 Case, Liquid Silicone Case, Full Body Protective Cover, Shockproof, Slim Phone Case, Anti-Scratch Soft Microfiber Lining, 6.1 inch (Lovely Pink)",$24.99,$17.99,-28.01%,4.5 out of 5 stars,4.5,https://www.amazon.ca/elago-Compatible-Protective-Shockproof-Anti-Scratch/dp/B0B6N2PFC1/ref=sr_1_19?keywords=iPhone+14&qid=1677007651&sr=8-19
"JETech Camera Lens Protector for iPhone 14 6.1-Inch and iPhone 14 Plus 6.7-Inch, 9H Tempered Glass, Anti-Scratch, Case Friendly, Does Not Affect Night Shots, HD Clear, 3-Pack",,$9.99,0%,4.4 out of 5 stars,4.4,https://www.amazon.ca/JETech-Protector-6-1-Inch-6-7-Inch-Anti-Scratch/dp/B0B8SHY2NB/ref=sr_1_20?keywords=iPhone+14&qid=1677007651&sr=8-20
Spigen Ultra Hybrid Designed for Apple iPhone 14 Case - Crystal Clear,$24.99,$12.99,-48.02%,4.7 out of 5 stars,4.7,https://www.amazon.ca/Spigen-Ultra-Hybrid-Designed-iPhone/dp/B0B1NTZMK6/ref=sr_1_21?keywords=iPhone+14&qid=1677007651&sr=8-21
"Miracase Glass Series Designed for iPhone 14 Pro Max Case 6.7 Inch,[2023 Upgrade] Full Body Bumper Case with Built in 9H Tempered Glass Screen Protector, with 2 Pcs Camera Lens Protectors, Clear",,$24.99,0%,4.3 out of 5 stars,4.3,https://www.amazon.ca/Miracase-Designed-Tempered-Protector-Protectors/dp/B0B872F1XH/ref=sr_1_22?keywords=iPhone+14&qid=1677007651&sr=8-22
Spigen Ultra Hybrid Mag Case [Magsafe Compatible] Designed for iPhone 14 Pro Max Case (2022) - Carbon Fiber,,$28.99,0%,4.5 out of 5 stars,4.5,https://www.amazon.ca/Spigen-Hybrid-Magsafe-Compatible-Designed/dp/B0B1PBBGNB/ref=sr_1_23?keywords=iPhone+14&qid=1677007651&sr=8-23
OtterBox SYMMETRY SERIES+ Case with MagSafe for iPhone 14 & iPhone 13 - BLACK,,$69.95,0%,4.2 out of 5 stars,4.2,https://www.amazon.ca/OtterBox-SYMMETRY-Case-MagSafe-iPhone/dp/B0B7QK58TS/ref=sr_1_24?keywords=iPhone+14&qid=1677007651&sr=8-24
"JJGoo Compatible with iPhone 14 Plus Case, Clear Glitter Sparkle Soft TPU Anti-Scratch Shockproof Protective Phone Cases Cute Slim Thin Bling Sparkly Cover for Women Girls - 6.7 inch, 2022",,$7.88,0%,4.7 out of 5 stars,4.7,https://www.amazon.ca/JJGoo-Compatible-Clear-Anti-Scratch-Shockproof/dp/B0B84WTPFR/ref=sr_1_25?keywords=iPhone+14&qid=1677007651&sr=8-25
"Miracase Full Body Protection Compatible with iPhone 14 Case 6.1""(2022), [Built-in 9H Tempered Glass Screen Protector with 2 Pack Camera Lens Protector] Upgraded Shockproof Case,Elegant Purple",$26.99,$18.95,-29.79%,4.4 out of 5 stars,4.4,https://www.amazon.ca/Miracase-Protection-Compatible-iPhone-14/dp/B0B87ZTSWC/ref=sr_1_26?keywords=iPhone+14&qid=1677007651&sr=8-26
"iPhone 14 13 Fast Charger[Apple MFi Certified], 2Pack 20W USB C iPhone Charger Fast Charging Block with 6FT USB C to Lightning Cable,Apple Charger for iPhone 14 Pro Max/14 Plus/13/12/11/XS/XR/X/8,iPad",$27.99,$23.79,-15.01%,4.1 out of 5 stars,4.1,https://www.amazon.ca/iPhone-Charger-Certified-Charging-Lightning/dp/B09YY3KJ29/ref=sr_1_27?keywords=iPhone+14&qid=1677007651&sr=8-27
"Mgnaooi Magnetic Case for iPhone 14 Pro Case [MIL-Grade Drop Tested & Compatible with MagSafe] Translucent Matte Back with Aluminum Alloy Keys, Anti-Fingerprint Anti-Scratch 6.1 Inch, Black",$32.99,$22.95,-30.43%,4.4 out of 5 stars,4.4,https://www.amazon.ca/Mgnaooi-Compatible-Translucent-Anti-Fingerprint-Anti-Scratch/dp/B0B6VW9H5C/ref=sr_1_28?keywords=iPhone+14&qid=1677007651&sr=8-28
Commuter Case for iPhone 14 Pro Max Commuter Phone Case for iPhone 14 Pro Max Case 6.7 inch - Black,,$41.99,0%,No reviews,0,https://www.amazon.ca/Commuter-Case-iPhone-Phone-inch/dp/B0BV5TF66P/ref=sr_1_29?keywords=iPhone+14&qid=1677007651&sr=8-29
"Beerow Carbon Fiber Ultra Thin Case for iPhone 14 Pro Compatible with MagSafe, Kevlar Aramid Fiber Made Black",,$29.42,0%,No reviews,0,https://www.amazon.ca/Beerow-Carbon-iPhone-Compatible-MagSafe/dp/B0BQCQ24WS/ref=sr_1_30?keywords=iPhone+14&qid=1677007651&sr=8-30
"JETech Camera Lens Protector for iPhone 14 6.1-Inch and iPhone 14 Plus 6.7-Inch, 9H Tempered Glass Metal Individual Ring Cover, HD Clear, 2-Pack (Midnight)",,$11.99,0%,4.6 out of 5 stars,4.6,https://www.amazon.ca/JETech-Protector-6-1-Inch-6-7-Inch-Individual/dp/B0BK4BLHY6/ref=sr_1_31?keywords=iPhone+14&qid=1677007651&sr=8-31
OtterBox DEFENDER XT CLEAR SERIES for iPhone 14 Pro -BLACK CRYSTAL,,$89.94,0%,4.1 out of 5 stars,4.1,https://www.amazon.ca/OtterBox-DEFENDER-iPhone-BLACK-CRYSTAL/dp/B0B7CCVLZR/ref=sr_1_32?keywords=iPhone+14&qid=1677007651&sr=8-32
"JETech Privacy Screen Protector for iPhone 14 6.1-Inch, Anti Spy Tempered Glass Film, 2-Pack",,$14.99,0%,4.4 out of 5 stars,4.4,https://www.amazon.ca/JETech-Privacy-Protector-6-1-Inch-Tempered/dp/B0B8C2WVJM/ref=sr_1_33?keywords=iPhone+14&qid=1677007651&sr=8-33
memumi Upgraded Case for iPhone 14 Pro Max Ultra Slim 0.3 mm Matte Finish Coating Back Cover for iPhone 14 Pro Max Thin Case Minimalist Design Case with No Fingerprint Semi-Transparent Black,,$14.99,0%,3.8 out of 5 stars,3.8,https://www.amazon.ca/memumi-Upgraded-Minimalist-Fingerprint-Semi-Transparent/dp/B0BFPLYK2W/ref=sr_1_34?keywords=iPhone+14&qid=1677007651&sr=8-34
"UniqueMe [5 in 1] Designed for iPhone 14 Pro Max Case [No Yellowing] with 2 Pack Tempered Glass Screen Protector + 2 Pack Camera Lens Protector, [Military Grade Protection] Slim Thin- Crystal Purple",,$23.99,0%,4.5 out of 5 stars,4.5,https://www.amazon.ca/UniqueMe-14-Pro-Max-Protection/dp/B0B7785YBJ/ref=sr_1_35?keywords=iPhone+14&qid=1677007651&sr=8-35
"Teageo for iPhone 14 Case for Women Girl Cute Love Heart Luxury Electroplate Plating Soft Bling Back Cover Raised Full Camera Protection Bumper Silicone Shockproof Phone Case for iPhone 14, Lavender",,$13.99,0%,4.4 out of 5 stars,4.4,https://www.amazon.ca/Teageo-iPhone-14-Electroplate-Protection/dp/B0BC1YQ7SS/ref=sr_1_36?keywords=iPhone+14&qid=1677007651&sr=8-36
